iter	Passed	Remaining
401	16179	7969
402	16216	7927
403	16248	7882
404	16282	7839
405	16318	7797
406	16352	7754
407	16400	7717
408	16443	7679
409	16503	7647
410	16550	7611
411	16586	7568
412	16621	7525
413	16659	7484
414	16703	7446
415	16750	7408
416	16791	7368
417	16834	7329
418	16874	7289
419	16906	7245
420	16945	7204
421	17003	7171
422	17040	7130
423	17077	7088
424	17110	7045
425	17143	7002
426	17179	6960
427	17216	6918
428	17251	6876
429	17284	6833
430	17320	6791
431	17352	6748
432	17390	6707
433	17424	6664
434	17466	6625
435	17524	6591
436	17564	6551
437	17605	6511
438	17633	6467
439	17661	6422
440	17691	6378
441	17720	6334
442	17751	6291
443	17780	6247
444	17811	6204
445	17840	6160
446	17869	6116
447	17902	6073
448	17942	6034
449	17971	5990
450	18002	5947
451	18036	5905
452	18065	5862
453	18095	5819
454	18125	5776
455	18155	5733
456	18184	5690
457	18235	5653
458	18269	5612
459	18312	5573
460	18345	5531
461	18379	5489
462	18414	5448
463	18450	5407
464	18481	5365
465	18514	5323
466	18568	5288
467	18601	5246
468	18640	5206
469	18674	5165
470	18705	5123
471	18737	5081
472	18770	5039
473	18802	4998
474	18843	4958
475	18876	4917
476	18922	4879
477	18954	4837
478	18984	4795
479	19014	4753
480	19046	4712
481	19076	4670
482	19109	4629
483	19159	4592
484	19200	4552
485	19247	4514
486	19279	4473
487	19316	4433
488	19349	4392
489	19379	4350
490	19417	4310
491	19450	4269
492	19490	4230
493	19524	4189
494	19563	4149
495	19629	4115
496	19690	4080
497	19726	4040
498	19769	4001
499	19830	3966
500	19867	3925
501	19901	3885
502	19934	3844
503	19965	3802
504	20002	3762
505	20046	3724
506	20078	3682
507	20107	3641
508	20145	3601
509	20193	3563
510	20228	3523
511	20258	3481
512	20289	3440
513	20321	3400
514	20357	3359
515	20388	3318
516	20419	3278
517	20450	3237
518	20482	3196
519	20514	3156
520	20545	3115
521	20576	3074
522	20606	3033
523	20636	2993
524	20665	2952
525	20697	2911
526	20727	2871
527	20756	2830
528	20786	2789
529	20816	2749
530	20845	2708
531	20889	2670
532	20919	2629
533	20960	2590
534	20989	2550
535	21022	2510
536	21052	2469
537	21081	2429
538	21110	2389
539	21140	2348
540	21170	2308
541	21199	2268
542	21228	2228
543	21263	2188
544	21294	2148
545	21324	2109
546	21356	2069
547	21386	2029
548	21415	1989
549	21444	1949
550	21473	1909
551	21503	1869
552	21532	1830
553	21567	1790
554	21596	1751
555	21625	1711
556	21654	1671
557	21683	1632
558	21713	1592
559	21743	1553
560	21772	1513
561	21803	1474
562	21833	1434
563	21862	1395
564	21890	1356
565	21919	1316
566	21948	1277
567	21978	1238
568	22009	1199
569	22040	1160
570	22069	1120
571	22098	1081
572	22128	1042
573	22158	1003
574	22187	964
575	22216	925
576	22247	886
577	22280	848
578	22308	809
579	22338	770
580	22368	731
581	22397	692
582	22428	653
583	22457	615
584	22489	576
585	22518	537
586	22547	499
587	22576	460
588	22605	422
589	22634	383
590	22663	345
591	22694	306
592	22723	268
593	22753	229
594	22797	191
595	22826	153
596	22856	114
597	22886	76
598	22915	38
599	22945	0
