Actual,Forecast
68942.0,167756.02490692813
88521.0,189678.8006025941
114004.0,289084.6976961328
123188.0,257173.2773709755
283435.0,141201.0975919344
660336.0,392100.53370537004
674950.0,420484.9610133262
84189.0,465398.99405368115
218565.0,341189.4932977203
331538.0,241360.78694424295
4035885.0,216200.75080345257
963234.0,1716653.028560651
1756712.0,1031491.3940131338
2797449.0,742228.2940624204
563120.0,1298623.3846645365
877876.0,669366.587554877
4031.0,511083.3565131314
35549.0,296566.6533214309
4849.0,159021.7961694817
5185.0,229084.3476039539
5416.0,222843.67945817887
6522.0,213732.90445737017
6926.0,188301.76737448375
8814.0,264656.2789876146
58333.0,186646.06063995895
12419.0,220004.99505692127
2148.0,227055.95238955112
19505.0,203909.2918952427
15467.0,201930.63628442504
24920.0,259900.91106024577
25923.0,193963.82297682943
27333.0,211271.7910239752
28086.0,220174.6675818981
32585.0,207125.15763261478
33011.0,193488.49538344287
35113.0,262562.51721778925
24703.0,189982.80601031356
892.0,200764.90142125287
74984.0,205393.21571350977
96475.0,217243.63711544243
58031.0,227615.35935059265
46252.0,271132.7654083383
242174.0,192273.67147026522
103206.0,272457.7521460134
503072.0,265290.7554202492
586669.0,366278.41738455114
608543.0,432352.2568799816
34373.0,503269.058246918
29266.0,237022.11381330626
2933.0,158000.70191063397
28502.0,197573.48171092157
1437585.0,208407.74069549708
28705.0,688221.541605028
787621.0,422618.4046477927
767861.0,394810.76381070935
262065.0,508597.4332634115
186680.0,358991.41866826103
73677.0,302797.26837596577
1053.0,176785.12980646023
2384.0,234496.54079811694
2461470.0,181042.0669128187
4740.0,1014583.7931236153
4602.0,530630.527049604
6830.0,142889.7229826253
6842.0,99271.87465727997
7493.0,210513.78882052176
11797.0,278021.79826416355
13031.0,150999.4035633456
15204.0,183105.12788587078
19025.0,223946.49159048463
20288.0,162961.2159360684
22203.0,232471.919313002
25467.0,233162.59176076934
26285.0,154226.3051469312
5078.0,192616.7282266885
3586692.0,214886.3591586721
86645.0,1385082.2108395111
202669.0,725514.6108119364
442810.0,193964.342356715
631380.0,219940.3321112065
159207.0,417280.4871722907
496709.0,473663.06570390007
542591.0,279318.8559641598
3133000.0,426860.6296085016
2125630.0,1354989.1817589505
690996.0,1279334.0691558472
85549.0,577402.5070709642
208570.0,258942.29950229818
62262.0,122409.01331637852
65749.0,331400.30246432126
28161.0,298713.92449366534
37856.0,147094.76805768372
5486.0,163633.08020868502
2828.0,304273.6090585167
2619.0,124150.0698969033
6283.0,256038.11209837638
1158.0,239887.4202196843
46789.0,136814.54150672915
7547.0,171459.10525333593
4118.0,289148.2906535616
9323.0,127597.60766691357
11997.0,262430.05923452636
8014.0,242838.64111221564
18890.0,134029.13433901162
20030.0,156997.11955243416
21114.0,292369.66842954495
21151.0,128161.6655401517
23095.0,255156.23255103084
24229.0,237894.904834639
27247.0,140333.11711462872
28087.0,159914.26000432106
3662.0,282118.45910602843
232430.0,124402.3381298576
548775.0,326597.7386731785
593002.0,446135.582638748
95915.0,394884.2653711087
767938.0,233591.35646414102
178274.0,511302.7370857046
239246.0,265207.3290196404
718836.0,331148.8993246809
1284911.0,488620.8565392473
2296989.0,640204.4733297263
3377895.0,1097930.6178490273
92802.0,1666141.5116779874
72639.0,496679.75707207224
71001.0,129869.29421864985
7794.0,191882.57287273486
42764.0,174596.04503218085
1254.0,265613.078943457
8174.0,226661.87900251494
4096.0,103878.2164713412
5072.0,256108.37538112001
57406.0,242753.86620003352
5766.0,169809.49300767048
8351.0,204266.85111764446
10261.0,225350.1494656392
2737.0,113975.70215354463
13914.0,254419.44763653903
13455.0,245347.1101142761
22715.0,157405.52408422902
23132.0,206970.95668187688
23693.0,227502.58717232742
24262.0,116596.37281343887
26433.0,255931.71515891864
28630.0,242881.0997167273
30043.0,155918.17743702244
32564.0,201616.3077929982
22036.0,228661.41885932372
3772.0,116857.36632486046
314975.0,245510.13257498844
637049.0,337541.0216299054
772490.0,405384.0572832485
125358.0,530532.1048427675
925999.0,327654.38083663327
221037.0,393495.99296315154
302759.0,419144.5638462545
119732.0,339963.8516300579
1094291.0,210244.81669549656
1625888.0,547940.7111329747
2923280.0,926819.6054192486
4286063.0,1284696.686503812
91531.0,2024960.1016866383
92728.0,694319.7592473972
14126.0,4028.5114875356667
55852.0,108999.77476875414
79575.0,289940.684971821
6599.0,255177.55441511516
6007.0,205919.53054109338
5631.0,207993.7597861188
8646.0,165029.38743868144
5277.0,201391.98751450772
3246.0,258330.36656286044
1363.0,148276.72024377424
13487.0,203744.1035141648
15469.0,220498.40783983935
18062.0,173583.44616024243
27758.0,206878.723818646
9067.0,265034.6927181888
31188.0,161703.4301919585
47820.0,204189.0962408025
36835.0,230632.92633099324
36399.0,178900.01232127936
35086.0,205895.102540082
27888.0,259489.22902409759
35044.0,156537.58806748677
32147.0,210079.2882724633
81680.0,222454.45500612305
1346038.0,191068.2161758333
2510682.0,662532.5534257427
3634761.0,1282866.6253986312
272017.0,1688788.3343329919
84918.0,653747.6349474965
751349.0,80039.73188841905
750710.0,348445.5276197286
664787.0,586505.4503545088
591953.0,641690.4637135048
543134.0,361750.6974094607
257252.0,392076.2980250829
91759.0,348239.7744755387
187646.0,227907.86255923624
70273.0,281473.30487794697
20935.0,323163.2763963806
44017.0,141584.332946527
67306.0,189894.61989675224
7792.0,236301.97713024492
8263.0,199403.49639945826
9783.0,224273.01671209338
12712.0,284510.3452381822
13349.0,122661.75064596577
28361.0,182402.94571807762
28542.0,221304.5353145652
7590.0,195817.41534873768
5549.0,221007.72723723762
26773.0,273554.36317206477
4408.0,132359.17391221612
2672.0,177347.6668697137
1118.0,205076.0954895843
28546.0,180960.5631793473
36029.0,224219.55986185613
36685.0,288650.9663590484
37620.0,131429.68654500984
38606.0,185783.98523266526
5048.0,218862.42018043148
41520.0,182370.8244588572
56614.0,222339.65118708683
70151.0,288395.5252747655
81416.0,148818.5881518831
512155.0,201938.83197926887
222199.0,380058.906602987
466208.0,316458.1905961559
34477.0,379831.76983042544
584005.0,317563.10629562
95001.0,294947.6960785234
32823.0,276783.8838929395
15260.0,200844.80204151248
29359.0,174853.53051639907
2250.0,205004.378440772
3201.0,276915.8018722686
3616.0,114052.79030861318
4399.0,167181.64511900686
6062.0,193259.05096693043
6103.0,178072.20261636935
6178.0,201685.53086548904
8489.0,264425.7209926732
9334.0,112138.1702068696
12201.0,170642.44646018965
20744.0,194834.80968186518
22713.0,181194.863352892
23730.0,204155.6516645164
28265.0,268278.48095368355
32552.0,120400.09785107149
897.0,175859.81289059276
1354648.0,189348.33285546204
74768.0,633078.4320241485
